<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2020.12.08,1.21091,1.21340,1.20956,1.21022,71978,0,0
2020.12.09,1.21022,1.21474,1.20585,1.20802,72315,0,0
2020.12.10,1.20789,1.21588,1.20738,1.21398,85474,0,0
2020.12.11,1.21361,1.21628,1.21054,1.21125,71031,0,0
2020.12.14,1.21366,1.21766,1.21156,1.21432,65850,0,0
2020.12.15,1.21432,1.21687,1.21214,1.21505,65615,0,0
2020.12.16,1.21489,1.22124,1.21249,1.21984,76468,0,0
2020.12.17,1.21985,1.22729,1.21897,1.22684,65915,0,0
2020.12.18,1.22676,1.22719,1.22256,1.22542,58548,0,0
2020.12.21,1.22166,1.22528,1.21296,1.22424,103141,0,0
2020.12.22,1.22434,1.22573,1.21520,1.21616,79150,0,0
2020.12.23,1.21618,1.22212,1.21540,1.21860,79543,0,0
2020.12.24,1.21857,1.22157,1.21774,1.21808,47758,0,0
2020.12.28,1.21696,1.22506,1.21696,1.22159,54493,0,0
